TURN,UTTERANCE,DA,EMOTION
Ses05M_script01_1_F015,Why?,q,xxx
Ses05M_script01_1_M016,You know.,ans,neu
Ses05M_script01_1_F016,"Well, I have an idea.  But what's the story?",q,xxx
Ses05M_script01_1_M017,I'm going to ask her to marry me.,ans,neu
Ses05M_script01_1_F017,"Well, that's your business, Chris.",o,xxx
Ses05M_script01_1_M018,It's not just my business.,dag,fru
Ses05M_script01_1_F018,"Well, what do you want me to do?  You're old enough to make- to know your own mind.",o,ang
Ses05M_script01_1_M019,So it's okay then?  I should just go ahead and do it?,q,fru
Ses05M_script01_1_F019,"Well, you want to make sure that your father isn't --",ans,xxx
Ses05M_script01_1_M020,"Oh, so it isn't just my business?",dag,ang
Ses05M_script01_1_F020,I'm just saying.,s,fru
Ses05M_script01_1_M021,You infuriate me sometimes.  Do you know that?  God.,o,ang
Ses05M_script01_1_M022,"Isn't it your business, too, if dad -- if I tell dad and he throws a fit about it?  I mean, you have such a talent for ignoring things.",o,ang
Ses05M_script01_1_F021,"I ignore what I got to ignore.  I mean, the girl is Larry's girl.",s,ang
Ses05M_script01_1_M023,She is not Larry's girl!,dag,ang
Ses05M_script01_1_F022,"From your father's point of view he's not dead and she's still his girl.  Now, you can go on from there if you know where to go, Chris, but I don't know.  So what can I do for you?",s,ang
Ses05M_script01_1_M024,"I don't know why it is but everytime I reach out for something I- that I want, I have to pull back because I might hurt somebody else.  My whole bloody life; time after time after time.",o,fru
Ses05M_script01_1_F023,"Well, you're a considerate fella, there's nothing wrong in that",o,neu
Ses05M_script01_1_M025,To hell with that!,dag,ang
Ses05M_script01_1_F024,Have you asked Annie yet?,q,neu
Ses05M_script01_1_M026,I wanted to get this taken care of first.,ans,xxx
Ses05M_script01_1_F025,"Well, what if she feels like your father?  And how do you know she will marry you?",q,neu
Ses05M_script01_1_M027,"Well, if that's the case, then that's the end of it.  But from her letters it sounds like she has forgotten him.  I'll find out.  And then we'll thrash it out with dad, all right?  Mom, don't avoid me.",ans,xxx
Ses05M_script01_1_F026,"Well, the trouble is you never saw enough women.",o,neu
Ses05M_script01_1_M028,So what?  I'm not fast with women.,ag,ang
Ses05M_script01_1_F027,"Well, I just don't see why it has to be Annie.",s,fru
Ses05M_script01_1_M029,Because it is.,s,fru
Ses05M_script01_1_F028,"Well, that's a good reason.  But that doesn't mean anything at all.  I mean, you haven't seen her in five years.",s,fru
Ses05M_script01_1_M030,"I know her best, all right?  I don't know.  I grew up next to her.  When I think of somebody for my wife these days, I think of Annie.  What do you want, a diagram?",q,fru
Ses05M_script01_1_F029,"No.  I don't want a -- look, your father thinks he's coming back, Chris.  You marry that girl and you're pronouncing him dead.  Now, what's going to happen to your father; do you know?  Because, I don't.",ans,fru
Ses05M_script01_1_M031,"All right then, mom.",a,xxx
Ses05M_script01_1_F030,Just give it some more thought.,c,xxx
Ses05M_script01_1_M032,"I've given it three years of thought.  I hoped that if I'd waited, dad would have forgotten about it by now.  And we could have like a normal wedding and everybody happy.",s,ang
Ses05M_script01_1_M033,"But if that can't happen, I'll just have to get out.",s,ang
Ses05M_script01_1_F031,What the hell is this?,q,sur
Ses05M_script01_1_M034,"I'll get out.  I'll go get married and live someplace else.  I don't know, maybe New York.",ans,ang
Ses05M_script01_1_F032,Are you crazy?,q,ang
Ses05M_script01_1_M035,I have been a good son for too long.  A good sucker.  I'm through with it.,ans,ang
Ses05M_script01_1_F033,"What?  You mean?  Tell me something, you mean that you would leave the business?",q,xxx
Ses05M_script01_1_M036,"Yes.  On this, I would.",ans,ang
Ses05M_script01_1_F034,You can't think like that.,s,xxx
Ses05M_script01_1_M037,"Well, you help me stay here.",c,ang
Ses05M_script01_1_F035,"All right.  But don't think like that.  Because what the hell did we work for, Chris?  I mean, this whole thing, it's all for you.",s,ang
Ses05M_script01_1_M038,"I know that, mom.  Just, you help me stay here.",ag,fru
Ses05M_script01_1_F036,Just don't think that way.  Do you hear me?,q,ang
Ses05M_script01_1_M039,I am thinking that way.,ans,xxx
Ses05M_script01_1_F037,"I don't understand you, do I?",q,fru
Ses05M_script01_1_M040,"No, you don't.  I'm a pretty tough guy.",ans,fru
Ses05M_script01_1_F038,"Yeah, I can see that.",s,fru
Ses05M_script01_1b_F000,What's he going to say?  Maybe we ought to tell him before he sees it.,o,sad
Ses05M_script01_1b_M000,He saw it.,s,xxx
Ses05M_script01_1b_F001,"What do you mean?  I was the first one up, he was still in bed.",q,sur
Ses05M_script01_1b_M001,He was out here when it broke.,ans,sad
Ses05M_script01_1b_F002,When?,q,xxx
Ses05M_script01_1b_M002,About four this morning.  I heard it crack and I looked out the window and he was standing right there when it cracked.,ans,sad
Ses05M_script01_1b_F003,What was he doing out here four in the morning?,q,xxx
Ses05M_script01_1b_M003,"I don't know.  But after he saw it, he ran back into the house and started crying in the kitchen.",ans,sad
Ses05M_script01_1b_F004,Did you talk to him?,q,xxx
Ses05M_script01_1b_M004,No.  I figured it was best to leave him alone.,ans,sad
Ses05M_script01_1b_F005,He's dreaming about him again.  He's getting just like after Larry died. What's the meaning of that?,q,xxx
Ses05M_script01_1b_M005,"Yes, yes he is.  I don't know the meaning in it.  But I know one thing, mom, we made a terrible mistake with Dad.",ans,sad
Ses05M_script01_1b_F006,What?,q,xxx
Ses05M_script01_1b_M006,Being dishonest with him.  It's the kind of thing that pays off and now it's paying off.,ans,xxx
Ses05M_script01_1b_F007,What do you mean dishonest?,q,xxx
Ses05M_script01_1b_M007,You know that Larry's not coming back and I know it.  So why do we go on letting him think that we believe with him?,ans,xxx
Ses05M_script01_1b_F008,"What are you gonna do, argue with him?",q,xxx
Ses05M_script01_1b_M008,I don't want to argue with him.  But it's time that he knows that nobody else believes that Larry's alive. I mean,ans,fru
Ses05M_script01_1b_M009,"Why shouldn't he dream about him, walk the nights waiting for him?  Do we contradict him?  Do we say outright that we don't have any hope anymore?  That we haven't had any hope for a long time?",q,fru
Ses05M_script01_1b_F009,"Well, how are you gonna prove it?  Can you prove it?",q,xxx
Ses05M_script01_1b_M010,"For Gods sake, three years!  Nobody comes back after three years.  It's insane!",ans,fru
Ses05M_script01_1b_F010,"To you it is and to me, but not to him.",s,xxx
Ses05M_script01_1b_F011,You can talk yourself blue in the face but there's no body and there's no grave.  So where are you?,q,xxx
Ses05M_script01_1b_M011,"Sit down, mom.  I want to talk to you.",c,xxx
Ses05M_script01_1b_F012,"The trouble is the God damn newspapers, I mean, ea- each week a new boy turns up out of nowhere.  So the next one is gonna be Larry.  So you--",s,fru
Ses05M_script01_1b_M012,"All right.  All right, just listen.",c,fru
Ses05M_script01_1b_M013,"You know why I invited Annie, right?",q,xxx
Ses05M_script01_1b_F013,Why?,q,xxx
Ses05M_script01_1b_M014,You know.,ans,xxx
Ses05M_script01_1b_F014,"Well, I've got an idea but what's the story?",q,xxx
Ses05M_script01_1b_M015,I'm gonna ask her to marry me.,ans,xxx
Ses05M_script01_1b_F015,"Well, that's your business, Chris.",o,xxx
Ses05M_script01_1b_M016,You know it's not just my business.,dag,fru
Ses05M_script01_1b_F016,"What do you want me to do?  I mean, You're old enough to know your own mind.",o,fru
Ses05M_script01_1b_M017,So it's all right then?  I should just go ahead with it?,q,fru
Ses05M_script01_1b_F017,"Well, you want to make sure that your father isn't gonna --",ans,xxx
Ses05M_script01_1b_M018,"So it isn't just my business?  You infuriate me sometime, you know that.",o,xxx
Ses05M_script01_1b_M019,"Isn't it your business, too, if I tell dad and he throws a fit about it?  You have such a talent for ignoring things.",o,ang
Ses05M_script01_1b_F018,"I ignore what I got to ignore.  I mean, the girl is Larry's girl.",s,fru
Ses05M_script01_1b_M020,She's not Larry's girl.,dag,ang
Ses05M_script01_1b_F019,"As far as your father is concerned, he's not dead.  And she's still his girl.",s,xxx
Ses05M_script01_1b_F020,"Now, you can go on with this if you know where to go, but I don't know where to go.",s,xxx
Ses05M_script01_1b_M021,"I don't know why it is but every time I reach out for something that I want, I have to pull back because it might hurt somebody else, my whole bloody life, time after time, after time.",o,fru
Ses05M_script01_1b_F021,"Well, you're a considerate fella.  There's nothing wrong with that.",o,xxx
Ses05M_script01_1b_M022,what to hell with that!,dag,ang
Ses05M_script01_1b_F022,Have you asked Annie yet?,q,neu
Ses05M_script01_1b_M023,I wanted to get this settled first.,ans,xxx
Ses05M_script01_1b_F023,"Well, how do you know she'll marry you?  Maybe she feels like your father does.",q,neu
Ses05M_script01_1b_M024,"Well, if she does then that's the end of it.  But from her letters it seems like she's forgotten him.",ans,xxx
Ses05M_script01_1b_M025,"I'll find out and then we'll thrash it out with dad, all right?  Mom, don't avoid me.",c,fru
Ses05M_script01_1b_F024,The trouble is you don't see enough women.  You never did.,o,neu
Ses05M_script01_1b_M026,"So what, I'm not fast with women?",ag,fru
Ses05M_script01_1b_F025,I just don't see why it has to be Annie.,s,xxx
Ses05M_script01_1b_M027,Because it is.,s,fru
Ses05M_script01_1b_F026,"Well, that's a good reason.  But it don't mean a thing. I mean, You haven't seen her since you went to war.  It's been five years.",s,neu
Ses05M_script01_1b_M028,"[garbage] I don't know.  It's just,",s,fru
Ses05M_script01_1b_M029,"she's who I know best. I know her since I- I was a kid I grew up with her.  When I think of somebody for my wife these days, I I think of Annie.  What do you want, a diagram?",s,fru
Ses05M_script01_1b_F027,"No I don't want a-  Your father thinks he's coming back, Chris.  If you marry that girl, you're pronouncing him dead.",s,fru
Ses05M_script01_1b_F028,"Now, what's going to happen to your father, do you know?  I don't.",s,sad
Ses05M_script01_1b_M030,"All right then, mom.",a,fru
Ses05M_script01_1b_F029,Just give it some more thought.,c,xxx
Ses05M_script01_1b_M031,"I've given it three years of thought.  I had hoped if I waited, dad would've forgotten him by now and we could have a- a regular wedding and everybody happy.",c,ang
Ses05M_script01_1b_M032,But if that can't happen then I'll just get out.,s,ang
Ses05M_script01_1b_F030,What the hell is this?,q,sur
Ses05M_script01_1b_M033,"I'll get out.  I'll go get married someplace else, I- I'll live someplace else, maybe New York.",ans,ang
Ses05M_script01_1b_F031,Are you crazy?,q,ang
Ses05M_script01_1b_M034,"I've been a good son for too long, a good sucker.  I'm through with it.",ans,xxx
Ses05M_script01_1b_F032,But you have a business here.  What the hell is this?,q,xxx
Ses05M_script01_1b_M035,The business?  The business doesn't inspire me.,ans,ang
Ses05M_script01_1b_F033,Must you be inspired?,q,ang
Ses05M_script01_1b_M036,"Yeah, I'd like one hour a day.  If I have to grub for money all day long, I'd like to go home to something beautiful.  I'd like a family.  I'd like some kids.",ans,ang
Ses05M_script01_1b_M037,"I'd like to build something that's my own.  And Annie is in the center of that.  Now, where do I find it?",o,xxx
Ses05M_script01_1b_F034,You don't want to think like that.,s,ang
Ses05M_script01_1b_M038,"Well, you help me stay here.",c,xxx
Ses05M_script01_1b_F035,"All right.  But don't think like that because what the hell did we work for, Chris?  All of this, all of it, it's all just for you.",s,fru
Ses05M_script01_1b_M039,"I know that, mom.  Just you help me stay here.",ag,fru
Ses05M_script01_1b_F036,"Don't think like that, do you hear me?",q,xxx
Ses05M_script01_1b_M040,"Well, I am thinking like that.",ans,ang
Ses05M_script01_1b_F037,"I don't understand you, do I?",q,fru
Ses05M_script01_1b_M041,"No, you don't.  I'm a pretty tough guy.",ans,ang
Ses05M_script01_1b_F038,"Yeah, I can see that.",s,xxx
Ses05M_script01_2_F000,Why did you invite her here?,q,xxx
Ses05M_script01_2_M000,Why does that bother you?,q,neu
Ses05M_script01_2_F001,"She's been in New York three and a half years, why all of a sudden?",q,xxx
Ses05M_script01_2_M001,"Well, maybe maybe he just wanted to see her again.",ans,neu
Ses05M_script01_2_F002,Nobody comes seven hundred miles just to see.,s,neu
Ses05M_script01_2_M002,"What are you talking about?  He grew up next to the girl his whole life, why wouldn't he want to see her again?  Don't look at me like that.  He hasn't told me anything he didn't told you.",q,fru
Ses05M_script01_2_F003,He's not going to marry her.,c,xxx
Ses05M_script01_2_M003,Why do you think he's even thinking that?,q,neu
Ses05M_script01_2_F004,He's got that about it.,ans,neu
Ses05M_script01_2_M004,"Well, so what?",q,fru
Ses05M_script01_2_F005,"What's going on here, Joe?",q,ang
Ses05M_script01_2_M005,Now listen.,c,fru
Ses05M_script01_2_F006,"No.  She's not his girl, Joe.  She knows she's not.",o,xxx
Ses05M_script01_2_M006,You don't know.  You can't read her mind.,o,xxx
Ses05M_script01_2_F007,"Then why is she still single? I mean, New York is full of men.  Why isn't she married?  Probably a hundred people told her she's foolish but she's waited.",o,xxx
Ses05M_script01_2_M007,How do you know why she's waited?,q,fru
Ses05M_script01_2_F008,"Because she knows what I know, that's why.  She's faithful as a rock.  In my worst moments I think of her waiting and I know again that I'm right.",ans,xxx
Ses05M_script01_2_M008,"Look, it's a beautiful day outside, why are we arguing?",q,fru
Ses05M_script01_2_F009,"Nobody in this house dares takes her faith away, Joe.  Strangers might, but not his father, not his brother.",o,xxx
Ses05M_script01_2_M009,"Well, what do you want me to do about it?  What do you want?",q,fru
Ses05M_script01_2_F010,"I want you to pretend like he's coming back.  Both of you, don't think I haven't noticed you and Chris since she's gotten here.  I don't want any nonsense.",ans,fru
Ses05M_script01_2_M010,But Kate?,b,fru
Ses05M_script01_2_F011,"No, because if she- he's not coming back then I'll kill myself. Laugh!  Laugh at me!",o,fru
Ses05M_script01_2_F012,But why did that happen the very night she came back?  She goes to sleep in his bed and his memorial breaks in pieces.  Look at it.,s,xxx
Ses05M_script01_2_M011,Calm yourself.,c,fru
Ses05M_script01_2_F013,"Believe with me, Joe.  I can't stand alone.",s,xxx
Ses05M_script01_2_M012,Calm yourself.,c,fru
Ses05M_script01_2_F014,Only last week a man turned up in Detroit missing longer than Larry.  You read it yourself.,s,fru
Ses05M_script01_2_M013,All right.  All right.,a,fru
Ses05M_script01_2_F015,You above all have got to believe.,c,ang
Ses05M_script01_2_M014,"What do you mean, me above all?",q,xxx
Ses05M_script01_2_F016,Just don't stop believing.,ans,xxx
Ses05M_script01_2_M015,"What's that suppose to mean, me above all?  Look at you, you're shaking.",s,ang
Ses05M_script01_2_F017,I can't help it.,o,ang
Ses05M_script01_2_M016,"What have I got to hide, Kate?  What the hell is the matter with you?",q,ang
Ses05M_script01_3_F000,You're the only one I know who loves his parents.,s,neu
Ses05M_script01_3_M000,"I know.  It's going out of style, isn't it?",q,xxx
Ses05M_script01_3_F001,It's all right.  It's a good thing.  It's lovely here.  The air is sweet.,ans,hap
Ses05M_script01_3_M001,"So, you're not sorry I came?",q,exc
Ses05M_script01_3_F002,No.  But I'm not going to stay.,ans,xxx
Ses05M_script01_3_M002,Why?,q,sur
Ses05M_script01_3_F003,"Well, your mother, first of all, pretty much told me to leave.",ans,neu
Ses05M_script01_3_M003,Well-,b,neu
Ses05M_script01_3_F004,You saw that.  And well you've been --,s,xxx
Ses05M_script01_3_M004,What?,q,xxx
Ses05M_script01_3_F005,You've been sort of embarrassed since I got here.,ans,xxx
Ses05M_script01_3_M005,"Well, I planned on kind of sneaking up on you in a period of a week or so, but they all take it for granted that we're set.",s,xxx
Ses05M_script01_3_F006,"I figured they would, your mother at least.",ag,neu
Ses05M_script01_3_M006,How did you know?,q,xxx
Ses05M_script01_3_F007,"Well, from her perspective, I mean, why else would I come here?",ans,neu
Ses05M_script01_3_M007,"Well, so would you want to?  I mean, I guess you know that's why I asked you to come.",q,xxx
Ses05M_script01_3_F008,"Yes, that's why I came.",ans,xxx
Ses05M_script01_3_M008,"Annie, I love you.  I love you a great deal.  I love you. -I",o,xxx
Ses05M_script01_3_M009,"I don't know what to say.  I have no imagination.  That's all I have to say to you.  God, I'm embarrassing you. I-I didn't want to do this here. I- I wanted to do it someplace different, someplace where we could be new to each other.",s,xxx
Ses05M_script01_3_M010,"You feel it's wrong here, don't you; this yard, this chair?  I want you to be ready for me, Annie. I- I don't want to win you away from anything.",o,exc
Ses05M_script01_3_F009,"Oh, Chris I've been ready for a long time.",s,hap
Ses05M_script01_3_M011,So he's gone forever then?  You sure?,q,xxx
Ses05M_script01_3_F010,I almost got married two years ago.,ans,sad
Ses05M_script01_3_M012,Why didn't you?,q,sur
Ses05M_script01_3_F011,You started to write me.,ans,xxx
Ses05M_script01_3_M013,You felt something that far back?,q,hap
Ses05M_script01_3_F012,Everyday since.,ans,hap
Ses05M_script01_3_M014,"Annie, why didn't you call me or tell me?",q,xxx
Ses05M_script01_3_F013,"Well, I mean, until then you never wrote and when you did, what did you say?  I mean, you sure can be ambiguous.",ans,exc
Ses05M_script01_3_M015,"Give me a kiss, Annie.  Give me a --",c,xxx
Ses05M_script01_3_M016,"oh, God I kissed Annie.  I kissed Annie. I can't How long have I waited to do that?",o,exc
Ses05M_script01_3_F014,I'll never forgive you.  Why did you wait so long?  All this time I've sat around wondering if I was crazy for thinking of you.,o,xxx
Ses05M_script01_3_M017,"Oh, Annie, we're gonna live now.  I'm going to make you so happy.",o,exc
Ses05M_script01_3_F015,Not like that you're not.,o,exc
Ses05M_script01_3_M018,I kissed you.,s,sur
Ses05M_script01_3_F016,"Like Larry's brother.  Do it like you, Chris.  What's the matter?",q,sad
Ses05M_script01_3_M019,Lets go for a ride.  I I- I want to be alone with you.,s,sad
Ses05M_script01_3_F017,"No.  Chris, what is it?  Is it your mother?",q,xxx
Ses05M_script01_3_M020,"No, nothing like that.",ans,sad
Ses05M_script01_3_F018,You have to tell me.,c,xxx
Ses05M_script01_3_F019,Even in your letters there was something ashamed.,s,sad
Ses05M_script01_3_M021,"Yeah, I suppose I have been.  But it's going for me.",ag,sad
Ses05M_script01_3_F020,You have to tell me.,c,sad
Ses05M_script01_3_M022,I don't I don't know where to start.,s,neu
Ses05M_script01_3_F021,It wouldn't work like this.,s,sad
Ses05M_script01_3_M023,It's so mixed up with so many other things.,s,sad
Ses05M_script01_3_M024,"You remember when I was overseas, I was in command of a company?",q,xxx
Ses05M_script01_3_F022,"Yeah, sure.",ans,neu
Ses05M_script01_3_M025,I lost them.,s,sad
Ses05M_script01_3_F023,How many?,q,sad
Ses05M_script01_3_M026,Just about all.,ans,sad
Ses05M_script01_3_M027,"It- It takes time to toss something like that off,I mean, because they weren't just men.",o,sad
Ses05M_script01_3_M028,"For instance, there was this time, and it had been raining for several days, and this kid came up to me and he gave me his last pair of dry socks, just put them in my pocket.",s,xxx
Ses05M_script01_3_M029,I know it's it's just a little thing but that's just the kind of guys I had.  They didn't die.  They killed themselves for each other.,o,sad
Ses05M_script01_3_M030,"I mean that exactly, anymore selfish -- just a little bit more selfish and they would have been here today. And it gave me an idea as I was watching them all go down.",o,sad
Ses05M_script01_3_M031,"Everything was being destroyed see, but I felt like something new was being created at the same time.  Like it kind of -- responsibility.  You know, man to man.  Do you understand what I'm saying?",o,xxx
Ses05M_script01_3_M032,"And and to see that again, to to bring that back on the earth again, like- like a monument that that would stand behind these men and and and it would make a difference to them.",o,xxx
Ses05M_script01_3_M033,It was and then I went home.  And it was incredible.  It didn't have any meaning there.,s,sad
Ses05M_script01_3_M034,"I mean, the whole thing was like some kind of bus accident to them.",s,xxx
Ses05M_script01_3_M035,So I went back to work for my dad and that whole rat race again.,s,xxx
Ses05M_script01_3_M036,"I felt what you said, ashamed somehow because nobody had changed at all.",s,sad
Ses05M_script01_3_M037,"It seemed to make suckers out of so many guys.  And I-I felt wrong to be alive; to to open that bank book, to to drive that car, the new car, and look at that new refrigerator. I mean,",s,fru
Ses05M_script01_3_M038,"you can take those things out of the war, but if you're gonna drive that car you've got to know that that came from the love a man can have from a man. And you've got to be a little bit better because of that.  Because if you're not, then it's all just loot and there's blood on it and I didn't want any of it.",o,fru
Ses05M_script01_3_M039,And I guess that included you.,o,sad
Ses05M_script01_3_F024,Do you still feel like that?,q,sad
Ses05M_script01_3_M040,"I want you now, Annie.",ans,sad
Ses05M_script01_3_F025,"Because you can't feel like that anymore, Chris.  Because everything you have, you have a right to, me included.",o,sad
Ses05M_script01_3_F026,"And you father, he put hundreds of planes in the air and you should be proud.  A man should be paid for that.",s,xxx
Ses05M_script01_3_M041,"Oh, Annie,",ag,exc
Ses05M_script01_3_F027,[LAUGHTER] What will I do with a fortune?,q,hap
Ses05M_script01_3_M042,Annie I am going to make you a fortune.,o,hap
Ses05M_script02_1_M000,"What time is it?  They're supposed to run around midnight.  Oh, this is great, isn't it?  Look at the night we've got here.  It couldn't be better.  Actually, I wanted to go a little further up the coast you know to get away from all the lights and the people.  I was afraid we might miss it though, so how are you doing?",q,exc
Ses05M_script02_1_F000,Fine.,ans,sad
Ses05M_script02_1_M001,"What's that? Is that- Wait, is that foam?  I can't even tell.  Oh Actually, I guess if I can't tell then it probably isn't it, is it?  It will probably be unmistakable, don't you think?",q,exc
Ses05M_script02_1_M002,"This is great.  How are you doing?  Oh, no.  Oh, do you know what I did?  I forgot the flashlight.  How could I be so stupid?  I forgot the flashlight.",s,exc
Ses05M_script02_1_F001,What flashlight?,q,neu
Ses05M_script02_1_M003,"The flashlight.  The silver one.  There's only one, isn't there?  Stupid.",ans,exc
Ses05M_script02_1_F002,You mean our flashlight?,q,xxx
Ses05M_script02_1_M004,Well-,b,xxx
Ses05M_script02_1_F003,"I mean, you kept saying my flashlight, the flashlight like it was only somehow yours.  How is that supposed to make me feel?",q,xxx
Ses05M_script02_1_M005,"Oh, no, of course, our flashlight.  Me flashlight is to you flashlight, naturally.",ag,exc
Ses05M_script02_1_M006,"How could we have forgotten it? Well, I hope the moon stays out.  I wonder, do they always run during a full moon?  I can't remember, was the moon full last year, do you remember?",q,exc
Ses05M_script02_1_F004,Yes.,ans,xxx
Ses05M_script02_1_M007,"Are you cold?  Do you want my jacket?  We should have brought the blanket, our blanket.  Oh, this is great.  I didn't even think to bring a six pack.  Oh, a six pack would be just the ticket right about now.",s,exc
Ses05M_script02_1_M008,"I can't believe I forgot.I'm like a little kid.  I'm surprised I made it out of the house with my fly zipped. Oh, [LAUGHTER]",s,exc
Ses05M_script02_1_M009,"Oh, I wonder if they can hear me or if they can feel the vibrations when we move around in the sand. or something",o,exc
Ses05M_script02_1_F005,I'm cold.,s,xxx
Ses05M_script02_1_M010,Do you want my jacket?,q,exc
Ses05M_script02_1_F006,It's after eleven.  Let's just go home.,s,xxx
Ses05M_script02_1_M011,"Are you kidding?  We just got here, we'd miss it.  What's the point of coming all the way out here if we're just going to turn around and go home?",q,xxx
Ses05M_script02_1_F007,There is no point in coming out here.,ans,xxx
Ses05M_script02_1_M012,Right.,b,xxx
Ses05M_script02_1_F008,That's my point.,s,xxx
Ses05M_script02_1_M013,"That's my point, too.",ag,xxx
Ses05M_script02_1_F009,So let's go.,c,xxx
Ses05M_script02_1_M014,"Oh, no, no, no.  no That's not my point.  My point is what's the point coming out here if we're just going to leave?  Don't you want to see it?",dag,xxx
Ses05M_script02_1_F010,Not particularly.,ans,xxx
Ses05M_script02_1_M015,Why not?,q,xxx
Ses05M_script02_1_F011,I just don't.,ans,xxx
Ses05M_script02_1_M016,Oh,b,fru
Ses05M_script02_1_F012,it's stupid.,o,xxx
Ses05M_script02_1_M017,"Honey, it's a natural phenomenon.  I mean, this kind of thing only happens once a year.  It's a great opportunity.",s,exc
Ses05M_script02_1_M018,"I mean, Think about people in Kansas, they've got to get like you know plane tickets and hotel reservations just to see this.  We're just forty minutes away.  It's just too good of an opportunity to pass up.",s,exc
Ses05M_script02_1_F013,Pass what up?  It's It's just little fish and they swim up on the beach and they flop around and they swim away and then they die.,s,fru
Ses05M_script02_1_M019,"Yeah, but all that time on the beach is the highlight of their little lives.  You know,",s,exc
Ses05M_script02_1_M020,"and all that about flopping around, it's like laying eggs or what do you -- spawning or mating or something like that.",s,exc
Ses05M_script02_1_M021,"I mean, this is a big night for these guys.  You know, life's last orgy.",o,exc
Ses05M_script02_1_F014,"What are you so excited about.  This isn't rocket science, this is just fish.  Fish nobody even eats.",o,fru
Ses05M_script02_1_M022,"Yeah, they do.",dag,fru
Ses05M_script02_1_F015,Augie.,b,fru
Ses05M_script02_1_M023,"All right.  But they are fish that do something no other fish do.  Like the swallows were turning into Capistrano or Lemmings jumping off the cliffs, you know like that. There's- There's magic here and mystery.  And a little bit of the unexplainable.  You know, I can't see how you could not be interested.",o,exc
Ses05M_script02_1_F016,I'm just not.,s,sad
Ses05M_script02_1_M024,For real?,q,fru
Ses05M_script02_1_F017,Yes.,ans,xxx
Ses05M_script02_1_M025,"I don't get it.  I mean, the first time we came you said it was the best night of your life. And last year I remember distinctly you were so excited about coming that you stubbed your toe toe pushing me out the door and you didn't even notice until you got in the car.",s,fru
Ses05M_script02_1_F018,"Well, if you also remember last year we- our shoes got wet, I got sand in my panties, we had a big argument, you had a sore throat, and we didn't see the grunion.",s,fru
Ses05M_script02_1_M026,We weren't in a good spot.,o,xxx
Ses05M_script02_1_F019,We didn't see them the first time either.,s,fru
Ses05M_script02_1_M027,We just weren't in a good spot.  This is a much better spot.  I've got a great sense for these things.,o,xxx
Ses05M_script02_1_M028,"Look there.  What is that?  Is that -- Oh No, that's seaweed.",s,exc
Ses05M_script02_1_M029,"Oh, this is great.  I wouldn't miss this for the world. I mean, think about this, I know you're not interested but just think about this for a second;",c,exc
Ses05M_script02_1_M030,somewhere out there is a giant mass of silver fish all swimming in this direction.  They don't know why they're doing it.  We don't know why they're doing it.  They didn't- It wasn't a decision.  No one took a vote.  Nobody sent them an invitation or a map or anything like that.  It was just some internal time release fire cracker that went off. And all as one they turned around and formed this giant line as long as the California coastline and they just started swimming.  They are swimming right now at this very moment.   And And-,s,exc
Ses05M_script02_1_M031,"And it's single mindedness with no mind. It- It's urgency, it's pure urge.  I mean, they didn't make any decisions.  They don't ask any questions.  They don't give it a name,",o,exc
Ses05M_script02_1_M032,"they just all as one turn around and start swimming to this very point where we are standing now for one last celebration of sex and death. God, it's giving me Goosebumps.  Look at all the hairs that are standing up.",s,exc
Ses05M_script02_1_F020,That's the wind.,s,xxx
Ses05M_script02_1_M033,"Well, so what do you think?",q,exc
Ses05M_script02_2_M000,"Well, so, what do you think?",q,exc
Ses05M_script02_2_F000,About what?,q,neu
Ses05M_script02_2_M001,What I was just saying.,ans,exc
Ses05M_script02_2_F001,It's ridiculous.,o,neu
Ses05M_script02_2_M002,It certainly is not.  It's slightly exaggerated scientific fact.,dag,fru
Ses05M_script02_2_F002,It's P.R. somebody sold you a bill of goods that this magical thing would be happening on the beach.,o,xxx
Ses05M_script02_2_M003,"I'm not the only one, look at all these people.",dag,xxx
Ses05M_script02_2_F003,"Sure.  Everybody is told the same thing, it keeps us all excited.  It keeps us all coming back for more.  It keeps us thinking that life is gonna start now any minute if we can just find the right spot and get in on the action.",o,xxx
Ses05M_script02_2_M004,Are we talking about the same thing?,q,xxx
Ses05M_script02_2_F004,"I'm sorry.  It's just, it's it's just fish to me.",ans,fru
Ses05M_script02_2_M005,"uh, Carla Can I ask you a question?  no, don't get upset, but are you having your period?",q,neu
Ses05M_script02_2_F005,"God damn it, Augie.  Seriously, you always ask me that.  Why do you ask me that?  I hate it.  It's so insulting.",ans,ang
Ses05M_script02_2_M006,What's bugging you then?,q,fru
Ses05M_script02_2_F006,I just - We just have different ideas of what this night is suppose to look like.,ans,fru
Ses05M_script02_2_M007,"It's not that complicated.  We come down here, the grunions arrive, they do their little fish thing.  We say ooh, awe, look at the little fish.  And then they go home and we go home.",s,fru
Ses05M_script02_2_F007,"For God's sake, Augie.  It's- Grow up, we're not going to see the grunion.",o,xxx
Ses05M_script02_2_M008,Why not?,q,xxx
Ses05M_script02_2_F008,We We don't ever.  Have we ever?,q,fru
Ses05M_script02_2_M009,We've missed them twice.  That's hardly ever.,ans,fru
Ses05M_script02_2_F009,"Twice is every time we've tried, that's ever",s,ang
Ses05M_script02_2_M010,"Well, we'll see them this year.",o,xxx
